session,new_class_id,original_class_id,shot_id,image_id,path,side
1,91,100,0,4165,images/class_091/img_000013_bottom_orig100.jpg,bottom
1,91,100,1,4168,images/class_091/img_000016_bottom_orig100.jpg,bottom
1,91,100,2,4179,images/class_091/img_000027_top_orig100.jpg,top
1,91,100,3,4181,images/class_091/img_000029_top_orig100.jpg,top
1,91,100,4,4183,images/class_091/img_000031_top_orig100.jpg,top
1,92,101,0,4196,images/class_092/img_000003_bottom_orig101.jpg,bottom
1,92,101,1,4199,images/class_092/img_000006_bottom_orig101.jpg,bottom
1,92,101,2,4215,images/class_092/img_000022_top_orig101.jpg,top
1,92,101,3,4216,images/class_092/img_000023_top_orig101.jpg,top
1,92,101,4,4223,images/class_092/img_000030_top_orig101.jpg,top
1,93,102,0,4235,images/class_093/img_000001_bottom_orig102.jpg,bottom
1,93,102,1,4245,images/class_093/img_000011_bottom_orig102.jpg,bottom
1,93,102,2,4257,images/class_093/img_000023_top_orig102.jpg,top
1,93,102,3,4264,images/class_093/img_000030_top_orig102.jpg,top
1,93,102,4,4269,images/class_093/img_000035_top_orig102.jpg,top
1,94,104,0,4286,images/class_094/img_000008_bottom_orig104.jpg,bottom
1,94,104,1,4292,images/class_094/img_000014_bottom_orig104.jpg,bottom
1,94,104,2,4297,images/class_094/img_000019_bottom_orig104.jpg,bottom
1,94,104,3,4313,images/class_094/img_000035_top_orig104.jpg,top
1,94,104,4,4320,images/class_094/img_000042_top_orig104.jpg,top
1,95,106,0,4339,images/class_095/img_000013_bottom_orig106.jpg,bottom
1,95,106,1,4341,images/class_095/img_000015_bottom_orig106.jpg,bottom
1,95,106,2,4351,images/class_095/img_000025_top_orig106.jpg,top
1,95,106,3,4360,images/class_095/img_000034_top_orig106.jpg,top
1,95,106,4,4361,images/class_095/img_000035_top_orig106.jpg,top
1,96,107,0,4379,images/class_096/img_000013_bottom_orig107.jpg,bottom
1,96,107,1,4382,images/class_096/img_000016_bottom_orig107.jpg,bottom
1,96,107,2,4396,images/class_096/img_000030_top_orig107.jpg,top
1,96,107,3,4398,images/class_096/img_000032_top_orig107.jpg,top
1,96,107,4,4401,images/class_096/img_000035_top_orig107.jpg,top
1,97,109,0,4413,images/class_097/img_000005_bottom_orig109.jpg,bottom
1,97,109,1,4418,images/class_097/img_000010_bottom_orig109.jpg,bottom
1,97,109,2,4429,images/class_097/img_000021_top_orig109.jpg,top
1,97,109,3,4431,images/class_097/img_000023_top_orig109.jpg,top
1,97,109,4,4432,images/class_097/img_000024_top_orig109.jpg,top
1,98,110,0,4451,images/class_098/img_000001_bottom_orig110.jpg,bottom
1,98,110,1,4452,images/class_098/img_000002_bottom_orig110.jpg,bottom
1,98,110,2,4477,images/class_098/img_000027_top_orig110.jpg,top
1,98,110,3,4480,images/class_098/img_000030_top_orig110.jpg,top
1,98,110,4,4483,images/class_098/img_000033_top_orig110.jpg,top
1,99,111,0,4496,images/class_099/img_000001_bottom_orig111.jpg,bottom
1,99,111,1,4505,images/class_099/img_000010_bottom_orig111.jpg,bottom
1,99,111,2,4522,images/class_099/img_000027_top_orig111.jpg,top
1,99,111,3,4524,images/class_099/img_000029_top_orig111.jpg,top
1,99,111,4,4525,images/class_099/img_000030_top_orig111.jpg,top
1,100,112,0,4559,images/class_100/img_000017_bottom_orig112.jpg,bottom
1,100,112,1,4562,images/class_100/img_000020_bottom_orig112.jpg,bottom
1,100,112,2,4579,images/class_100/img_000037_top_orig112.jpg,top
1,100,112,3,4582,images/class_100/img_000040_top_orig112.jpg,top
1,100,112,4,4585,images/class_100/img_000043_top_orig112.jpg,top
2,101,113,0,4591,images/class_101/img_000005_bottom_orig113.jpg,bottom
2,101,113,1,4596,images/class_101/img_000010_bottom_orig113.jpg,bottom
2,101,113,2,4606,images/class_101/img_000020_top_orig113.jpg,top
2,101,113,3,4621,images/class_101/img_000035_top_orig113.jpg,top
2,101,113,4,4622,images/class_101/img_000036_top_orig113.jpg,top
2,102,114,0,4635,images/class_102/img_000009_bottom_orig114.jpg,bottom
2,102,114,1,4638,images/class_102/img_000012_bottom_orig114.jpg,bottom
